frame,queue_count,red_light_violations,rash_driving,total_vehicles
317,10,90,135,282
318,10,91,135,282
319,9,91,135,282
320,9,91,135,282
321,8,92,136,282
322,7,92,136,282
323,8,92,136,283
324,8,93,136,283
325,8,95,137,283
326,7,95,137,283
327,7,95,138,283
328,6,95,138,284
329,6,95,138,284
330,6,95,138,284
331,6,95,139,284
332,5,95,139,284
333,5,95,139,284
334,4,95,139,284
335,4,95,139,285
336,4,95,139,285
337,3,95,139,285
338,4,95,139,287
339,4,95,139,289
340,4,95,139,290
341,4,95,139,290
342,4,95,139,291
343,4,95,139,291
344,5,96,139,291
345,5,96,139,292
346,5,96,139,292
347,5,96,139,292
348,5,96,139,292
349,5,96,139,292
350,5,96,139,293
351,6,96,139,293
352,7,96,139,294
353,7,96,139,294
354,7,96,139,295
355,6,96,139,295
356,6,96,139,297
357,6,96,141,297
358,6,96,141,297
359,4,96,141,298
360,4,96,142,298
361,4,96,142,299
362,4,96,142,299
363,4,96,142,299
364,4,96,142,300
365,4,96,143,300
366,4,96,143,300
367,4,97,143,300
368,4,98,143,301
369,6,99,144,304
370,6,100,145,304
371,6,100,145,305
372,6,100,145,305
373,6,100,145,305
374,6,100,145,305
375,6,100,146,306
376,6,100,146,307
377,6,101,146,307
378,8,101,146,307
379,6,101,146,307
380,6,101,147,307
381,6,101,147,307
382,7,101,147,309
383,7,101,147,309
384,6,101,147,309
385,7,101,147,309
386,8,101,147,309
387,6,101,147,309
388,7,101,147,309
389,6,102,147,309
390,5,103,147,310
391,5,103,147,310
392,6,103,147,310
393,6,103,148,310
394,6,103,148,310
395,6,103,148,311
396,6,103,148,311
397,6,103,148,311
398,7,103,149,312
399,7,104,149,312
400,7,105,149,313
401,6,105,150,313
402,7,105,150,314
403,6,105,150,314
404,6,105,150,314
405,6,106,151,314
406,6,106,152,316
407,5,106,152,316
408,5,106,152,317
409,4,106,152,318
410,4,106,152,319
411,4,107,152,319
412,4,107,152,319
413,3,107,152,320
414,3,107,152,322
415,3,107,152,324
416,3,107,152,326
417,3,107,152,326
418,3,108,152,326
419,3,108,152,327
420,3,108,152,327
421,4,108,153,327
422,4,108,153,328
423,4,108,153,328
424,5,108,153,331
425,4,108,153,331
426,4,108,153,331
427,3,108,153,331
428,3,109,153,332
429,3,109,153,332
430,3,109,153,333
431,3,109,153,334
432,3,110,153,334
433,3,110,153,336
434,3,110,153,337
435,3,111,153,337
436,3,111,154,337
437,3,111,154,337
438,4,111,154,337
439,4,111,154,338
440,5,111,154,338
441,5,111,154,338
442,5,111,154,338
443,5,111,154,338
444,5,112,154,339
445,5,112,154,339
446,6,112,154,339
447,6,113,154,339
448,6,113,154,340
449,6,113,155,340
450,6,113,155,340
451,6,113,155,341
452,5,113,155,342
453,6,113,155,342
454,6,113,155,342
455,6,113,155,344
456,7,114,155,344
457,7,114,155,345
458,6,114,155,347
459,5,114,155,347
460,6,114,156,348
461,6,114,156,348
462,6,114,156,349
463,6,115,157,349
464,6,115,157,349
465,4,116,158,349
466,4,117,158,351
467,4,117,158,353
468,4,117,158,354
469,4,117,158,355
470,4,119,158,356
471,4,120,158,357
472,4,120,158,357
473,4,120,158,357
474,4,120,158,357
475,4,120,158,357
476,4,121,158,357
477,4,121,158,357
478,4,121,158,357
479,5,121,158,357
480,5,121,159,358
481,7,121,159,359
482,6,121,159,359
483,6,121,159,361
484,6,121,160,361
485,6,121,160,361
486,5,121,160,362
487,5,121,161,362
488,5,123,161,362
489,4,123,161,362
490,5,123,161,362
491,4,123,161,362
492,4,123,161,364
493,4,124,161,365
494,4,124,161,366
495,4,124,161,366
496,4,124,161,366
497,5,124,161,370
498,4,124,161,372
499,4,124,162,375
500,4,125,165,375
501,5,125,165,376
502,5,126,166,376
503,6,126,166,378
504,6,126,166,379
505,6,126,166,379
506,6,126,166,380
507,6,127,166,380
508,6,127,167,380
509,7,128,168,383
510,6,128,168,383
511,6,128,168,383
512,6,128,168,383
513,6,128,168,384
514,6,128,169,384
515,6,128,169,385
516,7,128,170,386
517,8,128,170,387
518,8,128,170,387
519,8,128,170,387
520,9,128,170,387
521,9,128,170,387
522,10,128,170,388
523,10,128,170,389
524,10,128,170,389
525,10,128,170,390
526,9,129,171,392
527,9,130,172,393
528,9,130,174,394
529,10,130,175,394
530,10,131,175,394
531,10,132,175,394
532,11,132,176,396
533,11,132,176,396
534,10,132,176,396
535,10,132,176,396
536,10,132,176,397
537,10,132,176,398
538,9,132,177,398
539,9,132,177,398
540,9,132,177,398
541,9,132,177,398
542,10,134,178,399
543,10,134,178,399
544,10,135,179,399
545,10,135,179,400
546,9,136,180,401
547,9,136,180,401
548,9,136,180,401
549,8,136,180,402
550,8,136,180,402
551,8,136,180,402
552,9,136,180,403
553,9,137,180,403
554,9,137,180,403
555,10,137,180,403
556,11,137,181,405
557,10,137,182,405
558,10,137,184,406
559,11,137,184,407
560,12,137,184,408
